DateTime,Currency,Impact,Event,Actual,Forecast,Previous,Detail
2020-01-02T01:45:00+00:00,CNY,High Impact Expected,RatingDog Manufacturing PMI,51.5,51.7,51.8,
2020-01-03T15:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,47.2,49.0,48.1,
2020-01-03T19:00:00+00:00,USD,High Impact Expected,FOMC Meeting Minutes,,,,
2020-01-07T15:00:00+00:00,USD,High Impact Expected,ISM Services PMI,55.0,54.5,53.9,
2020-01-08T00:30:00+00:00,AUD,High Impact Expected,Building Approvals m/m,11.8%,2.1%,-7.9%,
2020-01-08T13:15:00+00:00,USD,High Impact Expected,ADP Non-Farm Employment Change,202K,160K,124K,
2020-01-08T16:26:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-01-09T00:30:00+00:00,AUD,High Impact Expected,Goods Trade Balance,5.80B,4.10B,4.08B,
2020-01-09T09:30:00+00:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,,
2020-01-09T18:45:00+00:00,CAD,High Impact Expected,BOC Gov Poloz Speaks,,,,
2020-01-10T00:30:00+00:00,AUD,High Impact Expected,Retail Sales m/m,0.9%,0.4%,0.1%,
2020-01-10T13:30:00+00:00,CAD,High Impact Expected,Employment Change,35.2K,24.9K,-71.2K,
2020-01-10T13:30:00+00:00,CAD,High Impact Expected,Unemployment Rate,5.6%,5.8%,5.9%,
2020-01-10T13:30:00+00:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.1%,0.3%,0.3%,
2020-01-10T13:30:00+00:00,USD,High Impact Expected,Non-Farm Employment Change,145K,162K,256K,
2020-01-10T13:30:00+00:00,USD,High Impact Expected,Unemployment Rate,3.5%,3.5%,3.5%,
2020-01-13T15:30:00+00:00,CAD,High Impact Expected,BOC Business Outlook Survey,,,,
2020-01-13T21:00:00+00:00,NZD,High Impact Expected,NZIER Business Confidence,-21,,-40,
2020-01-14T13:30:00+00:00,USD,High Impact Expected,Core CPI m/m,0.1%,0.2%,0.2%,
2020-01-14T13:30:00+00:00,USD,High Impact Expected,CPI m/m,0.2%,0.2%,0.3%,
2020-01-14T13:30:00+00:00,USD,High Impact Expected,CPI y/y,2.3%,2.3%,2.1%,
2020-01-15T08:40:00+00:00,GBP,High Impact Expected,MPC Member Saunders Speaks,,,,
2020-01-15T09:30:00+00:00,GBP,High Impact Expected,CPI y/y,1.3%,1.5%,1.5%,
2020-01-16T12:30:00+00:00,EUR,High Impact Expected,ECB Monetary Policy Meeting Accounts,,,,
2020-01-16T13:30:00+00:00,USD,High Impact Expected,Core Retail Sales m/m,0.7%,0.5%,0.0%,
2020-01-16T13:30:00+00:00,USD,High Impact Expected,Retail Sales m/m,0.3%,0.3%,0.3%,
2020-01-16T18:00:00+00:00,EUR,High Impact Expected,ECB President Lagarde Speaks,,,,
2020-01-17T02:00:00+00:00,CNY,High Impact Expected,GDP q/y,6.0%,6.0%,6.0%,
2020-01-17T09:30:00+00:00,GBP,High Impact Expected,Retail Sales m/m,-0.6%,0.5%,-0.8%,
2020-01-21T03:01:00+00:00,JPY,High Impact Expected,Monetary Policy Statement,,,,
2020-01-21T03:02:00+00:00,JPY,High Impact Expected,BOJ Outlook Report,,,,
2020-01-22T13:30:00+00:00,CAD,High Impact Expected,CPI m/m,0.0%,0.0%,-0.1%,
2020-01-22T15:00:00+00:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,,
2020-01-22T15:00:00+00:00,CAD,High Impact Expected,BOC Rate Statement,,,,
2020-01-22T15:00:00+00:00,CAD,High Impact Expected,Overnight Rate,1.75%,1.75%,1.75%,
2020-01-22T16:15:00+00:00,CAD,High Impact Expected,BOC Press Conference,,,,
2020-01-23T00:30:00+00:00,AUD,High Impact Expected,Employment Change,28.9K,12.2K,38.5K,
2020-01-23T00:30:00+00:00,AUD,High Impact Expected,Unemployment Rate,5.1%,5.2%,5.2%,
2020-01-23T12:45:00+00:00,EUR,High Impact Expected,Main Refinancing Rate,0.00%,0.00%,0.00%,
2020-01-23T12:45:00+00:00,EUR,High Impact Expected,Monetary Policy Statement,,,,
2020-01-23T13:30:00+00:00,EUR,High Impact Expected,ECB Press Conference,,,,
2020-01-23T16:00:00+00:00,USD,High Impact Expected,Crude Oil Inventories,-0.4M,-0.1M,-2.5M,
2020-01-23T21:45:00+00:00,NZD,High Impact Expected,CPI q/q,0.5%,0.4%,0.7%,
2020-01-24T08:15:00+00:00,EUR,High Impact Expected,French Flash Services PMI,51.7,52.2,52.4,
2020-01-24T08:30:00+00:00,EUR,High Impact Expected,German Flash Services PMI,54.2,53.0,52.9,
2020-01-24T08:30:00+00:00,EUR,High Impact Expected,German Flash Manufacturing PMI,45.2,44.5,43.7,
2020-01-24T09:30:00+00:00,EUR,High Impact Expected,ECB President Lagarde Speaks,,,,
2020-01-24T09:30:00+00:00,GBP,High Impact Expected,Flash Manufacturing PMI,49.8,48.8,47.5,
2020-01-24T09:30:00+00:00,GBP,High Impact Expected,Flash Services PMI,52.9,51.1,50.0,
2020-01-24T09:30:00+00:00,USD,High Impact Expected,Treasury Sec Mnuchin Speaks,,,,
2020-01-24T13:30:00+00:00,CAD,High Impact Expected,Core Retail Sales m/m,0.2%,0.5%,-0.4%,
2020-01-27T09:00:00+00:00,EUR,High Impact Expected,German ifo Business Climate,95.9,97.1,96.3,
2020-01-28T15:00:00+00:00,USD,High Impact Expected,CB Consumer Confidence,131.6,128.2,128.2,
2020-01-29T00:30:00+00:00,AUD,High Impact Expected,Trimmed Mean CPI m/m,0.4%,0.4%,0.4%,
2020-01-29T00:30:00+00:00,AUD,High Impact Expected,CPI m/m,0.7%,0.6%,0.5%,
2020-01-29T19:00:00+00:00,USD,High Impact Expected,Federal Funds Rate,1.75%,1.75%,1.75%,
2020-01-29T19:00:00+00:00,USD,High Impact Expected,FOMC Statement,,,,
2020-01-29T19:30:00+00:00,USD,High Impact Expected,FOMC Press Conference,,,,
2020-01-30T12:00:00+00:00,GBP,High Impact Expected,BOE Monetary Policy Report,,,,
2020-01-30T12:00:00+00:00,GBP,High Impact Expected,Monetary Policy Summary,,,,
2020-01-30T12:00:00+00:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,0-2-7,0-3-6,0-2-7,
2020-01-30T12:00:00+00:00,GBP,High Impact Expected,Official Bank Rate,0.75%,0.75%,0.75%,
2020-01-30T12:30:00+00:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,,
2020-01-30T13:30:00+00:00,USD,High Impact Expected,Advance GDP q/q,2.1%,2.1%,2.1%,
2020-01-31T01:00:00+00:00,CNY,High Impact Expected,Manufacturing PMI,50.0,50.1,50.2,
2020-01-31T13:30:00+00:00,CAD,High Impact Expected,GDP m/m,0.1%,0.0%,-0.1%,
2020-02-03T01:45:00+00:00,CNY,High Impact Expected,RatingDog Manufacturing PMI,51.1,51.0,51.5,
2020-02-03T15:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,50.9,48.5,47.2,
2020-02-04T03:30:00+00:00,AUD,High Impact Expected,Cash Rate,0.75%,0.75%,0.75%,
2020-02-04T03:30:00+00:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2020-02-04T21:45:00+00:00,NZD,High Impact Expected,Employment Change q/q,0.0%,0.3%,0.2%,
2020-02-04T21:45:00+00:00,NZD,High Impact Expected,Unemployment Rate,4.0%,4.2%,4.1%,
2020-02-05T01:30:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2020-02-05T02:00:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-02-05T12:15:00+00:00,EUR,High Impact Expected,ECB President Lagarde Speaks,,,,
2020-02-05T13:15:00+00:00,USD,High Impact Expected,ADP Non-Farm Employment Change,291K,157K,199K,
2020-02-05T15:00:00+00:00,USD,High Impact Expected,ISM Services PMI,55.5,55.1,55.0,
2020-02-06T00:30:00+00:00,AUD,High Impact Expected,Goods Trade Balance,5.22B,5.65B,5.52B,
2020-02-06T00:30:00+00:00,AUD,High Impact Expected,Retail Sales m/m,-0.5%,-0.2%,1.0%,
2020-02-06T08:00:00+00:00,EUR,High Impact Expected,ECB President Lagarde Speaks,,,,
2020-02-06T22:30:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2020-02-07T00:30:00+00:00,AUD,High Impact Expected,RBA Monetary Policy Statement,,,,
2020-02-07T02:00:00+00:00,NZD,High Impact Expected,Inflation Expectations q/q,1.93%,,1.80%,
2020-02-07T13:30:00+00:00,CAD,High Impact Expected,Employment Change,34.5K,16.3K,35.2K,
2020-02-07T13:30:00+00:00,CAD,High Impact Expected,Unemployment Rate,5.5%,5.7%,5.6%,
2020-02-07T13:30:00+00:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.2%,0.3%,0.1%,
2020-02-07T13:30:00+00:00,USD,High Impact Expected,Non-Farm Employment Change,225K,163K,147K,
2020-02-07T13:30:00+00:00,USD,High Impact Expected,Unemployment Rate,3.6%,3.5%,3.5%,
2020-02-11T09:30:00+00:00,GBP,High Impact Expected,Prelim GDP q/q,0.0%,0.0%,0.4%,
2020-02-11T14:00:00+00:00,EUR,High Impact Expected,ECB President Lagarde Speaks,,,,
2020-02-11T15:00:00+00:00,USD,High Impact Expected,Fed Chair Powell Testifies,,,,
2020-02-11T15:35:00+00:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,,
2020-02-12T01:00:00+00:00,NZD,High Impact Expected,Official Cash Rate,1.00%,1.00%,1.00%,
2020-02-12T01:00:00+00:00,NZD,High Impact Expected,RBNZ Monetary Policy Statement,,,,
2020-02-12T01:00:00+00:00,NZD,High Impact Expected,RBNZ Rate Statement,,,,
2020-02-12T02:00:00+00:00,NZD,High Impact Expected,RBNZ Press Conference,,,,
2020-02-12T14:30:00+00:00,USD,High Impact Expected,Fed Chair Powell Testifies,,,,
2020-02-12T19:10:00+00:00,NZD,High Impact Expected,RBNZ Gov Orr Speaks,,,,
2020-02-13T00:00:00+00:00,CAD,High Impact Expected,BOC Gov Poloz Speaks,,,,
2020-02-13T00:00:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2020-02-13T13:30:00+00:00,USD,High Impact Expected,Core CPI m/m,0.2%,0.2%,0.1%,
2020-02-13T13:30:00+00:00,USD,High Impact Expected,CPI m/m,0.1%,0.2%,0.2%,
2020-02-13T13:30:00+00:00,USD,High Impact Expected,CPI y/y,2.5%,2.4%,2.3%,
2020-02-14T07:00:00+00:00,EUR,High Impact Expected,German Prelim GDP q/q,0.0%,0.1%,0.1%,
2020-02-14T13:30:00+00:00,USD,High Impact Expected,Core Retail Sales m/m,0.3%,0.3%,0.6%,
2020-02-14T13:30:00+00:00,USD,High Impact Expected,Retail Sales m/m,0.3%,0.3%,0.2%,
2020-02-18T00:30:00+00:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,,
2020-02-18T10:00:00+00:00,EUR,High Impact Expected,German ZEW Economic Sentiment,8.7,20.0,26.7,
2020-02-19T00:30:00+00:00,AUD,High Impact Expected,Wage Price Index q/q,0.5%,0.5%,0.5%,
2020-02-19T09:30:00+00:00,GBP,High Impact Expected,CPI y/y,1.8%,1.6%,1.3%,
2020-02-19T13:30:00+00:00,CAD,High Impact Expected,CPI m/m,0.3%,0.2%,0.0%,
2020-02-19T19:00:00+00:00,USD,High Impact Expected,FOMC Meeting Minutes,,,,
2020-02-20T00:30:00+00:00,AUD,High Impact Expected,Employment Change,13.5K,10.0K,28.7K,
2020-02-20T00:30:00+00:00,AUD,High Impact Expected,Unemployment Rate,5.3%,5.2%,5.1%,
2020-02-20T09:30:00+00:00,GBP,High Impact Expected,Retail Sales m/m,0.9%,0.7%,-0.5%,
2020-02-20T12:30:00+00:00,EUR,High Impact Expected,ECB Monetary Policy Meeting Accounts,,,,
2020-02-20T23:00:00+00:00,NZD,High Impact Expected,RBNZ Gov Orr Speaks,,,,
2020-02-21T08:15:00+00:00,EUR,High Impact Expected,French Flash Services PMI,52.6,51.4,51.0,
2020-02-21T08:30:00+00:00,EUR,High Impact Expected,German Flash Services PMI,53.3,53.9,54.2,
2020-02-21T08:30:00+00:00,EUR,High Impact Expected,German Flash Manufacturing PMI,47.8,44.8,45.3,
2020-02-21T09:30:00+00:00,GBP,High Impact Expected,Flash Manufacturing PMI,51.9,49.7,50.0,
2020-02-21T09:30:00+00:00,GBP,High Impact Expected,Flash Services PMI,53.3,53.4,53.9,
2020-02-21T13:30:00+00:00,CAD,High Impact Expected,Core Retail Sales m/m,0.5%,0.4%,0.5%,
2020-02-21T14:45:00+00:00,USD,High Impact Expected,Flash Manufacturing PMI,50.8,51.5,51.9,
2020-02-23T21:45:00+00:00,NZD,High Impact Expected,Retail Sales q/q,0.7%,0.8%,1.7%,
2020-02-24T09:00:00+00:00,EUR,High Impact Expected,German ifo Business Climate,96.1,95.0,96.0,
2020-02-25T15:00:00+00:00,USD,High Impact Expected,CB Consumer Confidence,130.7,132.6,130.4,
2020-02-26T13:30:00+00:00,EUR,High Impact Expected,ECB President Lagarde Speaks,,,,
2020-02-27T00:00:00+00:00,NZD,High Impact Expected,ANZ Business Confidence,-19.4,,-13.2,
2020-02-27T00:30:00+00:00,AUD,High Impact Expected,Private Capital Expenditure q/q,-2.8%,0.5%,-0.4%,
2020-02-28T13:30:00+00:00,CAD,High Impact Expected,GDP m/m,0.3%,0.1%,0.1%,
2020-02-28T19:30:00+00:00,USD,High Impact Expected,Fed Announcement,,,,
2020-02-29T01:00:00+00:00,CNY,High Impact Expected,Manufacturing PMI,35.7,45.1,50.0,
2020-02-29T01:00:00+00:00,CNY,High Impact Expected,Non-Manufacturing PMI,29.6,51.4,54.1,
2020-03-02T01:45:00+00:00,CNY,High Impact Expected,RatingDog Manufacturing PMI,40.3,46.1,51.1,
2020-03-02T15:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,50.1,50.5,50.9,
2020-03-03T00:30:00+00:00,AUD,High Impact Expected,Building Approvals m/m,-15.3%,1.1%,3.9%,
2020-03-03T03:30:00+00:00,AUD,High Impact Expected,Cash Rate,0.50%,0.50%,0.75%,
2020-03-03T03:30:00+00:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2020-03-03T09:30:00+00:00,GBP,High Impact Expected,Monetary Policy Report Hearings,,,,
2020-03-03T15:00:00+00:00,USD,High Impact Expected,Federal Funds Rate,1.25%,,1.75%,
